#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
0,NewPanel,1,0,6.0/4.5/4.5/2.5/2.5/2.5/4.5/6.0/4.5/4.5/6.0/4.5,0.006860494613647461,0.006860494613647461,None,1,[0 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
1,MAB,1,1,6.0/4.5/4.5/2.5/2.5/2.5/4.5/6.0/4.5/4.5/6.0/4.5,0.009673118591308594,0.016533613204956055,None,0,[0 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1.]
2,MAB,1,3,2.75/2.75/2.75/0.75/0.75/0.75/2.75/2.75/2.75/2.75/2.75/2.75,0.008675813674926758,0.025209426879882812,3,0,[1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1.]
3,NewPanel,2,0,4.5/4.5/6.0/4.5/6.0/4.5/4.5/6.0/2.5/2.5/2.5,0.0070874691009521484,0.03229689598083496,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1 0 1 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1.]
4,MAB,2,1,4.25/4.75/5.75/4.75/5.75/4.25/4.25/5.75/2.25/2.25/2.75,0.00981283187866211,0.04210972785949707,None,0,[0 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1.]
5,MAB,2,2,4.0/4.5/5.5/4.5/5.5/4.5/4.0/5.5/2.5/2.0/2.5,0.009730100631713867,0.05183982849121094,None,0,[0 0 1 0 1 1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1.]
6,MAB,2,3,3.75/4.25/5.25/4.25/5.25/4.25/3.75/5.25/2.25/1.75/2.25,0.009648561477661133,0.06148838996887207,None,0,[1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 1. 1.]
7,MAB,2,4,3.5/4.0/5.0/4.0/5.0/4.0/3.5/5.0/2.0/1.5/2.0,0.009339332580566406,0.07082772254943848,None,0,[1 0 1 0 0 1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 1.]
8,MAB,2,5,3.25/3.75/4.75/3.75/4.75/4.25/3.25/4.75/2.25/1.25/1.75,0.009171724319458008,0.07999944686889648,None,0,[1 0 1 0 0 0 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 2.]
9,MAB,2,7,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/0.75/0.75/0.75,0.00807499885559082,0.0880744457244873,9,0,[1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 3. 1. 1. 1. 1. 1.],[2. 3. 2. 2. 2. 2. 2.]
10,NewPanel,3,0,2.5/2.5/2.5/4.5/4.5/6.0/4.5/4.5/4.5/4.5,0.006927967071533203,0.09500241279602051,None,1,[0 2 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1],[1. 3. 1. 1. 1. 1. 1.],[2. 3. 2. 2. 2. 2. 2.]
11,MAB,3,2,0.75/0.75/0.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.008158683776855469,0.10316109657287598,0,0,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[2. 4. 2. 2. 2. 2. 2.]
12,NewPanel,4,0,6.0/4.5/6.0/4.5/2.5/2.5/2.5/4.5/6.0,0.01907801628112793,0.1222391128540039,None,13,[0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[2. 4. 2. 2. 2. 2. 2.]
13,MAB,4,1,6.0/4.5/6.0/4.5/2.5/2.5/2.5/4.5/6.0,0.009617805480957031,0.13185691833496094,None,0,[0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[3. 4. 2. 2. 2. 2. 2.]
14,MAB,4,2,5.75/4.25/5.75/4.25/2.25/2.75/2.25/4.75/5.75,0.009423017501831055,0.141279935836792,None,0,[0 0 1 1 1 1 0 1 1 1 1 0 0 1 1 1 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[3. 4. 3. 2. 2. 2. 2.]
15,MAB,4,3,5.5/4.5/5.5/4.5/2.0/2.5/2.5/4.5/5.5,0.009115934371948242,0.15039587020874023,None,0,[0 0 1 1 1 1 0 1 0 1 1 0 0 1 1 1 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[3. 4. 3. 3. 2. 2. 2.]
16,MAB,4,4,5.25/4.25/5.25/4.25/1.75/2.25/2.25/4.25/5.25,0.009551763534545898,0.15994763374328613,None,0,[1 0 1 1 1 1 0 1 0 1 1 0 0 1 1 1 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[3. 4. 3. 3. 3. 2. 2.]
17,MAB,4,5,5.0/4.0/5.0/4.0/1.5/2.0/2.0/4.0/5.0,0.009370803833007812,0.16931843757629395,None,0,[1 0 1 1 1 1 0 1 0 1 1 0 0 1 0 1 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[3. 4. 3. 3. 3. 3. 2.]
18,MAB,4,6,4.75/4.25/4.75/4.25/1.25/1.75/2.25/3.75/4.75,0.009234428405761719,0.17855286598205566,None,0,[1 0 1 1 1 1 0 1 0 1 0 0 0 1 0 1 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[3. 4. 3. 3. 3. 3. 3.]
19,MAB,4,7,4.0/4.0/4.0/4.0/2.0/0.5/2.0/2.5/4.0,0.00871729850769043,0.1872701644897461,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[3. 5. 3. 3. 3. 3. 3.]
20,MAB,4,8,4.0/2.5/4.0/2.5/2.0/2.0/0.5/4.0/4.0,0.00856924057006836,0.19583940505981445,None,0,[0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[3. 6. 3. 3. 3. 3. 3.]
21,MAB,4,9,2.0/0.5/4.0/2.5/4.0/4.0/2.5/4.0/4.0,0.008620262145996094,0.20445966720581055,None,0,[0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[4. 6. 3. 3. 3. 3. 3.]
22,MAB,4,10,1.75/0.75/3.75/2.75/3.75/3.75/2.75/3.75/3.75,0.008455753326416016,0.21291542053222656,None,0,[0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[4. 6. 4. 3. 3. 3. 3.]
23,MAB,4,11,1.5/1.0/3.5/3.0/3.5/3.5/3.0/3.5/3.5,0.00821232795715332,0.22112774848937988,None,0,[0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[4. 6. 4. 4. 3. 3. 3.]
24,MAB,4,12,1.25/0.75/3.25/2.75/3.25/3.25/2.75/3.25/3.25,0.008474588394165039,0.22960233688354492,None,0,[1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],[1. 4. 1. 1. 1. 1. 1.],[4. 6. 4. 4. 4. 3. 3.]
25,MAB,4,14,1.0/0.5/3.0/2.5/3.0/3.0/2.5/3.0/3.0,0.008355379104614258,0.23795771598815918,2,0,[1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1. 4. 1. 1. 1. 2. 1.],[4. 6. 4. 4. 4. 4. 3.]
26,NewPanel,5,0,2.5/2.5/4.0/6.0/6.0/6.0/4.0/2.5,0.30605316162109375,0.5440108776092529,None,289,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 1 1],[1. 4. 1. 1. 1. 2. 1.],[4. 6. 4. 4. 4. 4. 3.]
27,MAB,5,1,2.75/2.75/3.75/5.75/5.75/5.75/3.75/2.75,0.008703947067260742,0.5527148246765137,None,0,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 1 0],[1. 4. 1. 1. 1. 2. 1.],[4. 6. 4. 4. 4. 4. 4.]
28,MAB,5,2,2.5/2.5/3.5/5.5/5.5/5.5/3.5/2.5,0.008354425430297852,0.5610692501068115,None,0,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 0 0],[1. 4. 1. 1. 1. 2. 1.],[4. 6. 4. 4. 4. 5. 4.]
29,MAB,5,3,2.75/2.75/2.75/4.75/4.75/4.75/2.75/2.75,0.007895946502685547,0.5689651966094971,None,0,[1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[1. 4. 1. 1. 1. 2. 1.],[4. 7. 4. 4. 4. 5. 4.]
30,MAB,5,5,2.75/2.75/2.75/0.75/0.75/0.75/2.75/2.75,0.014979124069213867,0.5839443206787109,6,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[2. 4. 1. 1. 1. 2. 1.],[5. 7. 4. 4. 4. 5. 4.]
31,NewPanel,6,0,6.0/4.0/4.0/4.0/4.0/4.0/4.0,0.2713313102722168,0.8552756309509277,None,291,[0 0 1 1 1 1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0],[2. 4. 1. 1. 1. 2. 1.],[5. 7. 4. 4. 4. 5. 4.]
32,MAB,6,1,5.75/3.75/3.75/3.75/3.75/3.75/3.75,0.0077745914459228516,0.8630502223968506,None,0,[0 0 0 1 1 1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0],[2. 4. 1. 1. 1. 2. 1.],[5. 7. 5. 4. 4. 5. 4.]
33,MAB,6,2,5.5/3.5/3.5/3.5/3.5/3.5/3.5,0.0077972412109375,0.8708474636077881,None,0,[0 0 0 0 1 1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0],[2. 4. 1. 1. 1. 2. 1.],[5. 7. 5. 5. 4. 5. 4.]
34,MAB,6,3,5.25/3.25/3.25/3.25/3.25/3.25/3.25,0.007981300354003906,0.878828763961792,None,0,[1 0 0 0 1 1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0],[2. 4. 1. 1. 1. 2. 1.],[5. 7. 5. 5. 5. 5. 4.]
35,MAB,6,4,5.0/3.0/3.0/3.0/3.0/3.0/3.0,0.00748896598815918,0.8863177299499512,None,0,[1 0 0 0 1 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0],[2. 4. 1. 1. 1. 2. 1.],[5. 7. 5. 5. 5. 5. 5.]
36,MAB,6,5,3.0/3.0/3.0/1.0/1.0/3.0/3.0,0.007555484771728516,0.8938732147216797,None,0,[1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[2. 4. 1. 1. 1. 2. 1.],[6. 7. 5. 5. 5. 5. 5.]
37,MAB,6,7,2.75/2.75/2.75/0.75/0.75/2.75/2.75,0.007662534713745117,0.9015357494354248,7,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[2. 4. 1. 1. 1. 3. 1.],[6. 7. 5. 5. 5. 6. 5.]
38,NewPanel,7,0,3.5/1.5/1.5/3.5/5.0/3.5,0.37584710121154785,1.2773828506469727,None,433,[0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1],[2. 4. 1. 1. 1. 3. 1.],[6. 7. 5. 5. 5. 6. 5.]
39,MAB,7,1,3.25/1.25/1.25/3.25/4.75/3.25,0.008014917373657227,1.2853977680206299,None,0,[0 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 1 1 1 1],[2. 4. 1. 1. 1. 3. 1.],[6. 7. 5. 5. 5. 7. 5.]
