#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
32,Egreedy,1,32,4.75/4.0,0.006189584732055664,0.8424668312072754,None,1,[0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 2 0 0 0 0]
33,Egreedy,1,33,4.75/4.0,0.029802560806274414,0.8722693920135498,None,5,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 2 0 0 0 0]
34,Egreedy,1,34,3.5/4.75,0.006125450134277344,0.8783948421478271,None,1,[0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 2 0 0 0 0]
35,Egreedy,1,35,4.25/3.5,0.018741369247436523,0.8971362113952637,None,3,[0 2 0 0 0 0 2 0 0 0 0 2 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0]
36,Egreedy,1,36,3.25/2.5,0.006308317184448242,0.9034445285797119,None,1,[0 2 0 0 0 0 0 0 0 0 0 2 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0]
37,Egreedy,1,37,3.0/2.25,0.006174802780151367,0.9096193313598633,None,1,[0 2 0 0 0 0 0 0 0 0 0 2 0 1 1 1 1 0 0 0 1 0 0 0 1 0 0]
38,Egreedy,1,38,2.25/3.5,0.012432575225830078,0.9220519065856934,None,2,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0]
39,Egreedy,1,39,2.25/3.5,0.01854228973388672,0.9405941963195801,None,3,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 1]
40,Egreedy,1,40,2.0/3.25,0.006131649017333984,0.9467258453369141,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 1]
41,Egreedy,1,41,1.75/3.5,0.005982875823974609,0.9527087211608887,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1]
42,Egreedy,1,42,1.5/3.25,0.011684417724609375,0.964393138885498,None,2,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1]
43,Egreedy,1,43,4.5/3.75,0.09578442573547363,1.0601775646209717,None,16,[0 0 0 0 1 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 0 0]
44,Egreedy,1,44,4.25/3.5,0.005931854248046875,1.0661094188690186,None,1,[0 0 0 0 1 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 1 0 0]
45,Egreedy,1,45,4.0/3.25,0.005961418151855469,1.072070837020874,None,1,[0 0 0 0 1 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0]
46,Egreedy,1,46,3.75/3.0,0.0058672428131103516,1.0779380798339844,None,1,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0]
47,Egreedy,1,47,3.75/3.0,0.011952638626098633,1.089890718460083,None,2,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0]
48,Egreedy,1,48,4.5/3.75,0.0059773921966552734,1.0958681106567383,None,1,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 0 0]
49,Egreedy,1,49,3.5/3.75,0.012291908264160156,1.1081600189208984,None,2,[1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 0 0 1 1 0]
50,Egreedy,1,50,3.25/3.5,0.012189388275146484,1.120349407196045,None,2,[1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0 1]
51,Egreedy,1,51,3.5/3.25,0.006361246109008789,1.1267106533050537,None,1,[0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0 1]
52,Egreedy,1,52,4.25/2.0,0.012385368347167969,1.1390960216522217,None,2,[0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 1 0 2 0 0 0 0 0 0 0 0 1]
53,Egreedy,1,53,3.25/3.5,0.029275894165039062,1.1683719158172607,None,5,[0 2 0 0 0 0 0 0 1 0 1 2 0 1 1 0 0 2 0 0 0 0 0 0 0 0 1]
54,Egreedy,1,54,4.5/3.75,0.017968416213989258,1.18634033203125,None,3,[0 0 0 0 1 0 2 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0]
55,Egreedy,1,55,4.5/3.75,0.02397465705871582,1.2103149890899658,None,4,[0 0 0 0 1 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 2 0 0 0 0]
56,Egreedy,1,56,4.5/3.75,0.01765918731689453,1.2279741764068604,None,3,[0 0 0 0 1 1 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0]
57,Egreedy,1,57,4.75/4.0,0.04966855049133301,1.2776427268981934,None,7,[0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0]
58,Egreedy,1,58,4.75/4.0,0.017886638641357422,1.2955293655395508,None,3,[0 0 1 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0]
