#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
0,NewPanel,1,0,6.5/5.75,0.17412114143371582,0.17412114143371582,None,1,[0 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
1,Egreedy,1,1,7.5/4.75,0.04627537727355957,0.2203965187072754,None,4,[0 0 1 1 1 0 0 1 1 0 1 2 0 0 0 0 2 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
2,Egreedy,1,2,7.25/4.5,0.011164426803588867,0.23156094551086426,None,1,[0 0 1 1 1 0 0 1 1 0 1 2 0 0 0 0 2 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
3,Egreedy,1,3,7.5/4.75,0.011991262435913086,0.24355220794677734,None,1,[0 0 1 1 1 0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
4,Egreedy,1,4,7.5/4.75,0.021541118621826172,0.2650933265686035,None,2,[0 0 1 1 1 0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
5,Egreedy,1,5,8.25/5.5,0.011071443557739258,0.2761647701263428,None,1,[0 0 1 1 1 0 2 0 0 0 0 2 0 0 0 0 2 2 0 0 1 1 0 0 1 0 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
6,Egreedy,1,6,8.0/5.25,0.01076817512512207,0.28693294525146484,None,1,[0 0 1 0 1 0 2 0 0 0 0 2 0 0 0 0 2 2 0 0 1 1 0 0 1 0 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
7,Egreedy,1,7,7.75/5.0,0.010692834854125977,0.2976257801055908,None,1,[0 0 1 0 1 0 2 0 0 0 0 2 0 0 0 0 2 2 0 0 1 1 0 0 0 0 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
8,Egreedy,1,8,7.5/4.75,0.008914947509765625,0.30654072761535645,None,1,[0 0 1 0 1 0 2 0 0 0 0 2 0 0 0 0 2 2 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
9,Egreedy,1,9,7.5/4.75,0.013844013214111328,0.3203847408294678,None,2,[0 0 1 0 1 0 2 0 0 0 0 2 0 0 0 0 2 2 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
