#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,4.25/4.0,0.006600618362426758,0.006600618362426758,None,1,[1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1]
1,Egreedy,1,1,4.0/3.75,0.006861209869384766,0.013461828231811523,None,1,[1 0 1 0 1 1 2 0 0 0 0 0 0 1 1 1 1]
2,Egreedy,1,2,3.75/3.5,0.023404598236083984,0.03686642646789551,None,2,[1 0 0 0 1 1 2 0 0 0 0 0 0 1 1 1 1]
3,Egreedy,1,3,3.75/1.5,0.008431673049926758,0.045298099517822266,None,1,[1 0 0 0 1 1 0 0 0 0 0 2 0 1 1 1 1]
4,Egreedy,1,4,3.75/2.0,0.007953882217407227,0.05325198173522949,None,1,[1 0 0 0 1 1 0 0 0 0 0 2 2 0 0 0 0]
5,Egreedy,1,5,2.75/1.5,0.031821250915527344,0.08507323265075684,None,4,[1 0 1 0 1 0 0 1 0 0 1 2 0 0 0 0 0]
6,Egreedy,1,6,1.75/2.0,0.031972408294677734,0.11704564094543457,None,4,[1 2 0 0 0 0 0 1 0 1 1 2 0 0 0 1 0]
7,Egreedy,1,7,0.75/3.0,0.007820844650268555,0.12486648559570312,None,1,[1 2 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0]
8,Egreedy,1,8,0.5/2.75,0.01229238510131836,0.13715887069702148,None,1,[1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0]
9,Egreedy,1,9,1.25/4.0,0.022251605987548828,0.1594104766845703,None,1,[1 2 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0]
10,Egreedy,1,10,2.25/3.0,0.015474557876586914,0.17488503456115723,None,4,[1 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0]
11,Egreedy,1,11,2.5/3.25,0.01138615608215332,0.18627119064331055,None,3,[1 0 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0]
12,Egreedy,1,12,2.5/3.25,0.011430501937866211,0.19770169258117676,None,3,[1 0 0 0 1 0 0 1 0 0 1 0 2 0 0 0 0]
13,Egreedy,1,13,2.5/1.25,0.004051923751831055,0.2017536163330078,None,1,[1 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0]
14,Egreedy,1,14,1.75/1.5,0.0037870407104492188,0.20554065704345703,None,1,[0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0]
15,Egreedy,1,15,2.25/2.0,0.051247596740722656,0.2567882537841797,None,5,[0 2 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1]
16,Egreedy,1,16,1.0/2.75,0.02558445930480957,0.28237271308898926,None,2,[0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1]
17,Egreedy,1,17,0.5/2.75,0.014372587203979492,0.29674530029296875,None,4,[1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
18,Egreedy,1,18,3.0/3.25,0.01828479766845703,0.3150300979614258,None,5,[1 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0]
19,Egreedy,1,19,3.5/1.25,0.03633689880371094,0.3513669967651367,None,10,[0 0 0 0 0 0 0 1 1 1 0 2 0 1 0 0 0]
20,Egreedy,1,20,4.0/2.25,0.04680585861206055,0.39817285537719727,None,10,[1 0 0 1 0 0 0 1 1 0 0 2 2 0 0 0 0]
21,Egreedy,1,21,4.25/2.0,0.028905391693115234,0.4270782470703125,None,2,[0 0 0 1 0 0 0 1 1 0 0 2 2 0 0 0 0]
22,Egreedy,1,22,2.5/2.75,0.06267189979553223,0.4897501468658447,None,5,[1 2 0 0 0 0 2 0 0 0 0 2 0 0 1 0 0]
23,Egreedy,1,23,2.75/2.5,0.011808633804321289,0.501558780670166,None,2,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 0 0]
24,Egreedy,1,24,2.0/1.75,0.022030115127563477,0.5235888957977295,None,1,[0 2 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0]
25,Egreedy,1,25,1.75/2.0,0.09884166717529297,0.6224305629730225,None,9,[0 2 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0]
26,Egreedy,1,26,3.0/0.75,0.055945634841918945,0.6783761978149414,None,4,[0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 1 0]
27,Egreedy,1,27,4.5/2.75,0.03500175476074219,0.7133779525756836,None,3,[0 0 0 0 1 1 0 1 1 1 1 2 2 0 0 0 0]
28,Egreedy,1,28,5.0/2.75,0.028585433959960938,0.7419633865356445,None,2,[0 0 1 0 1 1 0 1 1 1 0 2 2 0 0 0 0]
29,Egreedy,1,29,4.75/2.5,0.006169319152832031,0.7481327056884766,None,1,[0 0 1 0 1 1 0 1 0 1 0 2 2 0 0 0 0]
30,Egreedy,1,30,4.25/2.5,0.02240300178527832,0.7705357074737549,None,1,[0 0 1 0 1 1 0 0 0 1 1 2 2 0 0 0 0]
31,Egreedy,1,31,4.25/2.5,0.07902193069458008,0.849557638168335,None,7,[0 0 1 0 1 0 0 1 0 1 1 2 2 0 0 0 0]
32,Egreedy,1,32,4.25/2.5,0.02841353416442871,0.8779711723327637,None,2,[0 0 1 0 1 0 0 0 1 1 1 2 2 0 0 0 0]
33,Egreedy,1,33,4.0/2.25,0.027975797653198242,0.9059469699859619,None,2,[0 0 1 0 0 0 0 0 1 1 1 2 2 0 0 0 0]
34,Egreedy,1,34,4.0/2.25,0.06783628463745117,0.9737832546234131,None,6,[0 0 1 0 0 0 0 1 1 0 1 2 2 0 0 0 0]
35,Egreedy,1,35,3.0/1.25,0.005892515182495117,0.9796757698059082,None,1,[0 0 1 0 0 0 0 1 1 0 1 2 0 0 0 0 0]
36,Egreedy,1,36,3.25/1.0,0.022085905075073242,1.0017616748809814,None,1,[0 0 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0]
37,Egreedy,1,37,3.0/1.25,0.030729055404663086,1.0324907302856445,None,4,[0 0 0 1 0 0 0 1 1 0 1 2 0 0 0 0 0]
38,Egreedy,1,38,3.25/1.5,0.011969327926635742,1.0444600582122803,None,3,[0 0 0 0 1 0 0 1 1 1 1 2 0 0 0 0 0]
39,Egreedy,1,39,3.0/1.25,0.0038177967071533203,1.0482778549194336,None,1,[0 0 0 0 1 0 0 1 1 0 1 2 0 0 0 0 0]
40,Egreedy,1,40,3.25/3.0,0.015141963958740234,1.0634198188781738,None,4,[0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 1]
41,Egreedy,1,41,3.0/2.75,0.026584386825561523,1.0900042057037354,None,7,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1]
42,Egreedy,1,42,3.75/3.5,0.0037758350372314453,1.0937800407409668,None,1,[0 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0]
43,Egreedy,1,43,3.0/2.25,0.003787517547607422,1.0975675582885742,None,1,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0]
44,Egreedy,1,44,2.75/2.5,0.007609367370605469,1.1051769256591797,None,2,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0]
45,Egreedy,1,45,2.75/2.5,0.011025667190551758,1.1162025928497314,None,3,[0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0]
