#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,4.25/4.0,0.02125382423400879,0.02125382423400879,None,1,[1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1]
1,Egreedy,1,1,4.0/3.75,0.0066127777099609375,0.027866601943969727,None,1,[1 0 1 0 1 1 2 0 0 0 0 0 0 1 1 1 1]
2,Egreedy,1,2,3.75/3.5,0.028503894805908203,0.05637049674987793,None,2,[1 0 0 0 1 1 2 0 0 0 0 0 0 1 1 1 1]
3,Egreedy,1,3,1.25/3.0,0.006292581558227539,0.06266307830810547,None,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1]
4,Egreedy,1,4,1.0/2.75,0.021984100341796875,0.08464717864990234,None,2,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
5,Egreedy,1,5,0.75/3.0,0.007991313934326172,0.09263849258422852,None,1,[1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1]
6,Egreedy,1,6,0.5/3.25,0.007817506790161133,0.10045599937438965,None,1,[1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1]
7,Egreedy,1,7,2.75/3.5,0.02091240882873535,0.121368408203125,None,1,[1 0 1 0 0 1 0 1 0 0 1 0 2 0 0 0 0]
8,Egreedy,1,8,2.75/3.5,0.028406143188476562,0.14977455139160156,None,2,[1 0 1 0 0 0 0 1 0 1 1 0 2 0 0 0 0]
9,Egreedy,1,9,1.5/4.25,0.03206515312194824,0.1818397045135498,None,2,[1 2 0 0 0 0 0 1 0 1 1 0 2 0 0 0 0]
10,Egreedy,1,10,2.25/3.0,0.023997783660888672,0.20583748817443848,None,2,[1 2 0 0 0 0 0 0 0 1 1 2 2 0 0 0 0]
11,Egreedy,1,11,1.25/2.0,0.005820274353027344,0.21165776252746582,None,1,[1 2 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0]
12,Egreedy,1,12,2.5/1.25,0.02123737335205078,0.2328951358795166,None,4,[1 0 0 0 0 0 0 0 0 1 1 2 0 1 0 0 0]
13,Egreedy,1,13,2.75/1.5,0.011694908142089844,0.24459004402160645,None,3,[1 0 0 0 1 0 0 0 1 0 1 2 0 1 0 0 0]
14,Egreedy,1,14,2.5/1.25,0.0037784576416015625,0.248368501663208,None,1,[1 0 0 0 1 0 0 0 1 0 1 2 0 0 0 0 0]
15,Egreedy,1,15,2.5/1.25,0.007561683654785156,0.25593018531799316,None,2,[1 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0]
16,Egreedy,1,16,4.0/1.75,0.007496356964111328,0.2634265422821045,None,2,[0 0 0 0 1 0 0 1 0 0 0 2 2 0 0 0 0]
17,Egreedy,1,17,3.5/1.25,0.003829479217529297,0.2672560214996338,None,1,[0 0 0 0 1 0 0 1 1 0 0 2 0 0 0 0 1]
18,Egreedy,1,18,4.0/1.75,0.003690004348754883,0.27094602584838867,None,1,[0 0 0 0 1 0 2 0 0 0 0 2 0 0 0 0 1]
19,Egreedy,1,19,3.25/3.0,0.01840376853942871,0.2893497943878174,None,5,[0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1]
20,Egreedy,1,20,2.75/3.0,0.014727115631103516,0.3040769100189209,None,4,[1 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0]
21,Egreedy,1,21,3.5/3.75,0.025130510330200195,0.3292074203491211,None,7,[1 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0]
22,Egreedy,1,22,2.5/2.75,0.0035533905029296875,0.3327608108520508,None,1,[1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0]
23,Egreedy,1,23,3.75/1.5,0.010881423950195312,0.3436422348022461,None,3,[0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0]
24,Egreedy,1,24,3.75/1.5,0.003616809844970703,0.3472590446472168,None,1,[0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0]
25,Egreedy,1,25,2.5/2.75,0.06177067756652832,0.4090297222137451,None,17,[1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 1]
26,Egreedy,1,26,2.25/2.5,0.0035970211029052734,0.4126267433166504,None,1,[1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0]
27,Egreedy,1,27,1.5/1.75,0.03654909133911133,0.4491758346557617,None,2,[1 2 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0]
28,Egreedy,1,28,1.75/1.5,0.05130410194396973,0.5004799365997314,None,2,[0 2 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0]
29,Egreedy,1,29,1.75/2.0,0.1940779685974121,0.6945579051971436,None,10,[0 2 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0]
30,Egreedy,1,30,3.0/0.75,0.05663704872131348,0.751194953918457,None,4,[0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 1 0]
31,Egreedy,1,31,4.25/2.5,0.0735616683959961,0.8247566223144531,None,7,[0 0 1 0 1 1 0 0 0 1 1 2 2 0 0 0 0]
32,Egreedy,1,32,4.25/2.5,0.10747003555297852,0.9322266578674316,None,9,[0 0 1 0 1 0 0 0 1 1 1 2 2 0 0 0 0]
33,Egreedy,1,33,4.0/2.25,0.026413917541503906,0.9586405754089355,None,2,[0 0 1 0 0 0 0 0 1 1 1 2 2 0 0 0 0]
34,Egreedy,1,34,4.0/2.25,0.1212916374206543,1.0799322128295898,None,6,[0 0 1 0 0 0 0 1 1 0 1 2 2 0 0 0 0]
35,Egreedy,1,35,3.0/1.25,0.005683422088623047,1.085615634918213,None,1,[0 0 1 0 0 0 0 1 1 0 1 2 0 0 0 0 0]
36,Egreedy,1,36,3.25/1.0,0.021687984466552734,1.1073036193847656,None,1,[0 0 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0]
37,Egreedy,1,37,1.75/2.0,0.033701419830322266,1.141005039215088,None,3,[0 2 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0]
38,Egreedy,1,38,3.25/1.5,0.038768768310546875,1.1797738075256348,None,4,[0 0 0 1 0 0 0 1 1 1 1 2 0 0 0 0 0]
39,Egreedy,1,39,3.0/1.25,0.0058710575103759766,1.1856448650360107,None,1,[0 0 0 1 0 0 0 1 1 0 1 2 0 0 0 0 0]
40,Egreedy,1,40,3.25/3.0,0.039475440979003906,1.2251203060150146,None,4,[0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1]
41,Egreedy,1,41,3.0/2.75,0.039606332778930664,1.2647266387939453,None,7,[0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1]
42,Egreedy,1,42,3.75/3.5,0.005383729934692383,1.2701103687286377,None,1,[0 0 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0]
43,Egreedy,1,43,3.0/2.25,0.005525112152099609,1.2756354808807373,None,1,[0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0]
44,Egreedy,1,44,2.75/2.5,0.010994195938110352,1.2866296768188477,None,2,[0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0]
45,Egreedy,1,45,2.75/2.5,0.016644954681396484,1.3032746315002441,None,3,[0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0]
46,Egreedy,1,46,3.75/1.5,0.022808313369750977,1.3260829448699951,None,4,[1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 1]
47,Egreedy,1,47,3.5/1.25,0.005447864532470703,1.3315308094024658,None,1,[1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0]
48,Egreedy,1,48,3.75/1.0,0.005393028259277344,1.3369238376617432,None,1,[0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0]
49,Egreedy,1,49,2.0/1.75,0.10685873031616211,1.4437825679779053,None,10,[1 2 0 0 0 0 0 0 0 1 0 2 0 1 0 1 0]
50,Egreedy,1,50,3.0/2.75,0.06216073036193848,1.5059432983398438,None,5,[1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0]
51,Egreedy,1,51,2.75/2.5,0.02190375328063965,1.5278470516204834,None,1,[1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0]
52,Egreedy,1,52,2.0/3.25,0.0433192253112793,1.5711662769317627,None,4,[0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0]
53,Egreedy,1,53,1.75/3.0,0.040158987045288086,1.6113252639770508,None,3,[0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0]
54,Egreedy,1,54,1.75/1.5,0.045567989349365234,1.656893253326416,None,8,[1 2 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0]
55,Egreedy,1,55,1.0/2.75,0.01710033416748047,1.6739935874938965,None,3,[1 2 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0]
56,Egreedy,1,56,0.75/2.5,0.0056378841400146484,1.6796314716339111,None,1,[1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
57,Egreedy,1,57,1.5/3.75,0.04518580436706543,1.7248172760009766,None,8,[1 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0]
58,Egreedy,1,58,1.25/3.5,0.023385047912597656,1.7482023239135742,None,4,[1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0]
59,Egreedy,1,60,0.25/2.5,0.005712985992431641,1.7539153099060059,0,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
60,NewPanel,2,0,1.5,0.0255281925201416,1.7794435024261475,None,13,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
61,Egreedy,2,1,3.0,0.057015419006347656,1.8364589214324951,None,9,[0 2 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0]
62,Egreedy,2,2,3.0,0.005469799041748047,1.8419287204742432,None,1,[0 0 0 0 0 0 0 1 1 0 1 0 2 0 0 0 0]
63,Egreedy,2,3,2.75,0.008792877197265625,1.8507215976715088,None,1,[0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0]
64,Egreedy,2,4,3.0,0.02281928062438965,1.8735408782958984,None,4,[0 0 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0]
65,Egreedy,2,5,2.5,0.0800621509552002,1.9536030292510986,None,14,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 1]
66,Egreedy,2,6,1.75,0.0057828426361083984,1.959385871887207,None,1,[0 0 0 0 0 1 2 0 0 0 0 2 0 0 0 0 1]
67,Egreedy,2,7,1.5,0.011811971664428711,1.9711978435516357,None,2,[0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 1]
68,Egreedy,2,8,0.75,0.02838897705078125,1.999586820602417,None,5,[0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1]
69,Egreedy,2,9,2.5,0.005696296691894531,2.0052831172943115,None,1,[0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0]
70,Egreedy,2,10,1.0,0.011366128921508789,2.0166492462158203,None,1,[0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0]
71,Egreedy,2,11,1.25,0.023520469665527344,2.0401697158813477,None,4,[0 0 0 1 0 1 0 1 1 0 0 2 0 0 0 0 0]
72,Egreedy,2,12,1.0,0.016956329345703125,2.057126045227051,None,3,[0 0 0 1 0 1 0 1 0 0 0 2 0 0 0 0 0]
73,Egreedy,2,13,1.75,0.028545856475830078,2.085671901702881,None,5,[0 0 0 1 1 0 0 1 1 1 0 2 0 0 1 0 0]
74,Egreedy,2,14,2.0,0.10796928405761719,2.193641185760498,None,19,[0 2 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0]
75,Egreedy,2,15,2.25,0.0462193489074707,2.2398605346679688,None,8,[0 2 0 0 0 0 0 1 0 0 1 2 0 1 0 0 1]
76,Egreedy,2,16,1.25,0.040727853775024414,2.280588388442993,None,7,[0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 0 1]
77,Egreedy,2,17,1.0,0.05179929733276367,2.332387685775757,None,9,[0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 1]
78,Egreedy,2,18,0.75,0.00566554069519043,2.3380532264709473,None,1,[0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 1 1]
79,Egreedy,2,19,2.75,0.07439327239990234,2.4124464988708496,None,13,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0]
