#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
42,Egreedy,2,37,1.5,0.0059583187103271484,2.077754497528076,None,1,[0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0]
43,Egreedy,2,38,1.25,0.0928645133972168,2.170619010925293,None,13,[0 0 0 0 0 0 0 1 1 0 1 2 0 1 0 0 0]
44,Egreedy,2,39,1.0,0.006047487258911133,2.176666498184204,None,1,[0 0 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0]
45,Egreedy,2,40,1.0,0.05679011344909668,2.233456611633301,None,9,[1 0 0 0 0 0 0 1 1 0 1 2 0 0 0 1 0]
46,Egreedy,2,41,0.75,0.006033658981323242,2.239490270614624,None,1,[1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 1 0]
47,Egreedy,2,42,1.0,0.09418368339538574,2.3336739540100098,None,16,[1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 1 1]
48,Egreedy,2,43,1.0,0.047857046127319336,2.381531000137329,None,8,[0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 1 1]
49,Egreedy,2,44,1.5,0.012391328811645508,2.3939223289489746,None,2,[1 0 1 0 0 0 0 0 1 0 0 2 0 1 0 0 1]
50,Egreedy,2,45,1.25,0.00603795051574707,2.3999602794647217,None,1,[0 0 1 0 0 0 0 0 1 0 0 2 0 1 0 0 1]
51,Egreedy,2,46,1.0,0.006081581115722656,2.4060418605804443,None,1,[0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 1]
52,Egreedy,2,47,1.75,0.011887311935424805,2.417929172515869,None,2,[0 0 1 0 0 0 0 0 1 0 0 2 2 0 0 0 0]
53,Egreedy,2,48,2.5,0.0059795379638671875,2.4239087104797363,None,1,[0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
54,Egreedy,2,49,2.5,0.0055506229400634766,2.4294593334198,None,1,[0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0]
55,Egreedy,2,50,1.75,0.8030402660369873,3.232499599456787,None,136,[0 0 1 0 0 1 0 0 0 0 0 2 2 0 0 0 0]
56,Egreedy,2,51,1.5,0.06299042701721191,3.295490026473999,None,16,[0 0 1 0 0 1 0 1 1 0 1 2 0 0 0 0 0]
57,Egreedy,2,52,1.0,0.2019333839416504,3.4974234104156494,None,40,[1 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0]
58,Egreedy,2,53,1.25,0.026299715042114258,3.5237231254577637,None,3,[1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 1]
59,Egreedy,2,54,1.75,0.3322587013244629,3.8559818267822266,None,52,[0 0 0 0 1 0 0 1 0 0 0 2 2 0 0 0 0]
60,Egreedy,2,55,2.5,0.05115079879760742,3.907132625579834,None,9,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0]
61,Egreedy,2,56,2.5,0.005524873733520508,3.9126574993133545,None,1,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0]
62,Egreedy,2,57,2.0,0.08385801315307617,3.9965155124664307,None,8,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0]
63,Egreedy,2,59,0.0,0.005594015121459961,4.002109527587891,1,1,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0]
