,#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,"#generations
"
0,0,random,1,0,[7],0.0051441192626953125,0.0051441192626953125,False,"1
"
1,1,random,1,1,[5],0.004906177520751953,0.010050296783447266,False,"1
"
2,2,random,1,2,[9],0.006073951721191406,0.016124248504638672,False,"1
"
3,3,random,1,3,[6],0.011549711227416992,0.027673959732055664,False,"2
"
4,4,random,1,4,[8],0.005960941314697266,0.03363490104675293,False,"1
"
5,5,random,1,5,[4],0.011017322540283203,0.04465222358703613,False,"2
"
6,6,random,1,6,[6],0.005493640899658203,0.050145864486694336,False,"1
"
7,7,random,1,7,[10],0.006463050842285156,0.05660891532897949,False,"1
"
8,8,random,1,8,[8],0.006075143814086914,0.0626840591430664,False,"1
"
9,9,random,1,9,[7],0.005617618560791016,0.06830167770385742,False,"1
"
10,10,random,1,10,[5],0.011313438415527344,0.07961511611938477,False,"2
"
11,11,random,1,11,[6],0.0059871673583984375,0.0856022834777832,False,"1
"
12,12,random,1,12,[6],0.005977153778076172,0.09157943725585938,False,"1
"
13,13,random,1,13,[6],0.011461019515991211,0.10304045677185059,False,"2
"
14,14,random,1,14,[7],0.005561113357543945,0.10860157012939453,False,"1
"
15,15,random,1,15,[9],0.010987281799316406,0.11958885192871094,False,"2
"
16,16,random,1,16,[5],0.0054323673248291016,0.12502121925354004,False,"1
"
17,17,random,1,17,[6],0.006425619125366211,0.13144683837890625,False,"1
"
18,18,random,1,18,[4],0.00601506233215332,0.13746190071105957,False,"1
"
19,19,random,1,19,[4],0.005562543869018555,0.14302444458007812,False,"1
"
20,20,random,1,20,[9],0.02144932746887207,0.1644737720489502,False,"4
"
21,21,random,1,21,[7],0.006166219711303711,0.1706399917602539,False,"1
"
22,22,random,1,22,[6],0.011222124099731445,0.18186211585998535,False,"2
"
23,23,random,1,23,[5],0.005671977996826172,0.18753409385681152,False,"1
"
24,24,random,1,24,[7],0.006206035614013672,0.1937401294708252,False,"1
"
25,25,random,1,25,[8],0.006215810775756836,0.19995594024658203,False,"1
"
26,26,random,1,26,[6],0.011832237243652344,0.21178817749023438,False,"2
"
27,27,random,1,27,[5],0.005718708038330078,0.21750688552856445,False,"1
"
28,28,random,1,28,[4],0.0062084197998046875,0.22371530532836914,False,"1
"
29,29,random,1,29,[8],0.006139993667602539,0.22985529899597168,False,"1
"
30,30,random,1,30,[3],0.011565685272216797,0.24142098426818848,False,"2
"
31,31,random,1,31,[9],0.017830610275268555,0.25925159454345703,False,"3
"
32,32,random,1,32,[3],0.006574869155883789,0.2658264636993408,False,"1
"
33,33,random,1,33,[4],0.011430740356445312,0.27725720405578613,False,"2
"
34,34,random,1,34,[8],0.011725187301635742,0.2889823913574219,False,"2
"
35,35,random,1,35,[6],0.011631965637207031,0.3006143569946289,False,"2
"
36,36,random,1,36,[8],0.0058116912841796875,0.3064260482788086,False,"1
"
37,37,random,1,37,[7],0.0061473846435546875,0.3125734329223633,False,"1
"
38,38,random,1,38,[7],0.006618499755859375,0.31919193267822266,False,"1
"
39,39,random,1,39,[7],0.005754232406616211,0.32494616508483887,False,"1
"
40,40,random,1,40,[10],0.0059049129486083984,0.33085107803344727,False,"1
"
41,41,random,1,41,[9],0.0062105655670166016,0.33706164360046387,False,"1
"
42,42,random,1,42,[9],0.006116390228271484,0.34317803382873535,False,"1
"
43,43,random,1,43,[4],0.005704641342163086,0.34888267517089844,False,"1
"
44,44,random,1,44,[3],0.02340865135192871,0.37229132652282715,False,"4
"
45,45,random,1,45,[7],0.006105899810791016,0.37839722633361816,False,"1
"
46,46,random,1,46,[5],0.01151132583618164,0.3899085521697998,False,"2
"
47,47,random,1,47,[7],0.011647224426269531,0.40155577659606934,False,"2
"
48,48,random,1,48,[7],0.006040096282958984,0.4075958728790283,False,"1
"
49,49,random,1,49,[5],0.029303789138793945,0.43689966201782227,False,"5
"
50,50,random,1,50,[10],0.01808929443359375,0.454988956451416,False,"3
"
51,51,random,1,51,[5],0.00592494010925293,0.46091389656066895,False,"1
"
52,52,random,1,52,[6],0.0063741207122802734,0.4672880172729492,False,"1
"
53,53,random,1,53,[9],0.0062677860260009766,0.4735558032989502,False,"1
"
54,54,random,1,54,[9],0.02290058135986328,0.4964563846588135,False,"4
"
55,55,random,1,55,[8],0.012063980102539062,0.5085203647613525,False,"2
"
56,56,random,1,56,[6],0.0068433284759521484,0.5153636932373047,False,"1
"
57,57,random,1,57,[5],0.012194633483886719,0.5275583267211914,False,"2
"
58,58,random,1,58,[12],0.006798744201660156,0.5343570709228516,False,"1
"
59,59,random,1,59,[5],0.005834341049194336,0.5401914119720459,False,"1
"
60,60,random,1,60,[10],0.006832122802734375,0.5470235347747803,False,"1
"
61,61,random,1,61,[6],0.017845869064331055,0.5648694038391113,False,"3
"
62,62,random,1,62,[13],0.00674891471862793,0.5716183185577393,False,"1
"
63,63,random,1,63,[1],0.01281428337097168,0.5844326019287109,True,2
