,#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,"#generations
"
0,0,random,1,0,[4],0.007405519485473633,0.007405519485473633,False,"1
"
1,1,random,1,1,[5],0.0056378841400146484,0.013043403625488281,False,"1
"
2,2,random,1,2,[4],0.005513906478881836,0.018557310104370117,False,"1
"
3,3,random,1,3,[9],0.005458831787109375,0.024016141891479492,False,"1
"
4,4,random,1,4,[6],0.0053713321685791016,0.029387474060058594,False,"1
"
5,5,random,1,5,[4],0.011018753051757812,0.040406227111816406,False,"2
"
6,6,random,1,6,[7],0.0064029693603515625,0.04680919647216797,False,"1
"
7,7,random,1,7,[7],0.007849693298339844,0.05465888977050781,False,"1
"
8,8,random,1,8,[6],0.006179094314575195,0.06083798408508301,False,"1
"
9,9,random,1,9,[7],0.005589485168457031,0.06642746925354004,False,"1
"
10,10,random,1,10,[7],0.0061187744140625,0.07254624366760254,False,"1
"
11,11,random,1,11,[7],0.005620718002319336,0.07816696166992188,False,"1
"
12,12,random,1,12,[3],0.006305217742919922,0.0844721794128418,False,"1
"
13,13,random,1,13,[7],0.006142854690551758,0.09061503410339355,False,"1
"
14,14,random,1,14,[6],0.006146907806396484,0.09676194190979004,False,"1
"
15,15,random,1,15,[5],0.005466938018798828,0.10222887992858887,False,"1
"
16,16,random,1,16,[7],0.0052258968353271484,0.10745477676391602,False,"1
"
17,17,random,1,17,[6],0.005961894989013672,0.11341667175292969,False,"1
"
18,18,random,1,18,[5],0.005548715591430664,0.11896538734436035,False,"1
"
19,19,random,1,19,[7],0.006430625915527344,0.1253960132598877,False,"1
"
20,20,random,1,20,[10],0.006460905075073242,0.13185691833496094,False,"1
"
21,21,random,1,21,[5],0.005385875701904297,0.13724279403686523,False,"1
"
22,22,random,1,22,[5],0.005766630172729492,0.14300942420959473,False,"1
"
23,23,random,1,23,[3],0.010430097579956055,0.15343952178955078,False,"2
"
24,24,random,1,24,[8],0.006381988525390625,0.1598215103149414,False,"1
"
25,25,random,1,25,[9],0.012226104736328125,0.17204761505126953,False,"2
"
26,26,random,1,26,[5],0.006024360656738281,0.1780719757080078,False,"1
"
27,27,random,1,27,[7],0.01142263412475586,0.18949460983276367,False,"2
"
28,28,random,1,28,[5],0.005423545837402344,0.19491815567016602,False,"1
"
29,29,random,1,29,[8],0.005738496780395508,0.20065665245056152,False,"1
"
30,30,random,1,30,[6],0.011512041091918945,0.21216869354248047,False,"2
"
31,31,random,1,31,[6],0.006218910217285156,0.21838760375976562,False,"1
"
32,32,random,1,32,[7],0.0064809322357177734,0.2248685359954834,False,"1
"
33,33,random,1,33,[4],0.03335142135620117,0.25821995735168457,False,"6
"
34,34,random,1,34,[5],0.0060918331146240234,0.2643117904663086,False,"1
"
35,35,random,1,35,[9],0.012188196182250977,0.27649998664855957,False,"2
"
36,36,random,1,36,[7],0.0060656070709228516,0.2825655937194824,False,"1
"
37,37,random,1,37,[4],0.00548243522644043,0.28804802894592285,False,"1
"
38,38,random,1,38,[5],0.011632919311523438,0.2996809482574463,False,"2
"
39,39,random,1,39,[7],0.010411977767944336,0.3100929260253906,False,"2
"
40,40,random,1,40,[6],0.006127834320068359,0.316220760345459,False,"1
"
41,41,random,1,41,[10],0.022641897201538086,0.33886265754699707,False,"4
"
42,42,random,1,42,[9],0.006651163101196289,0.34551382064819336,False,"1
"
43,43,random,1,43,[10],0.006201505661010742,0.3517153263092041,False,"1
"
44,44,random,1,44,[6],0.006200075149536133,0.35791540145874023,False,"1
"
45,45,random,1,45,[9],0.011761665344238281,0.3696770668029785,False,"2
"
46,46,random,1,46,[7],0.006230354309082031,0.37590742111206055,False,"1
"
47,47,random,1,47,[2],0.012145042419433594,0.38805246353149414,False,"2
"
48,48,random,1,48,[7],0.035004377365112305,0.42305684089660645,False,"6
"
49,49,random,1,49,[6],0.011035919189453125,0.43409276008605957,False,"2
"
50,50,random,1,50,[3],0.006482839584350586,0.44057559967041016,False,"1
"
51,51,random,1,51,[8],0.015595197677612305,0.45617079734802246,False,"3
"
52,52,random,1,52,[7],0.006215095520019531,0.462385892868042,False,"1
"
53,53,random,1,53,[11],0.006653547286987305,0.4690394401550293,False,"1
"
54,54,random,1,54,[7],0.011836051940917969,0.48087549209594727,False,"2
"
55,55,random,1,55,[8],0.011713504791259766,0.49258899688720703,False,"2
"
56,56,random,1,56,[5],0.027978181838989258,0.5205671787261963,False,"5
"
57,57,random,1,57,[5],0.006312131881713867,0.5268793106079102,False,"1
"
58,58,random,1,58,[6],0.006786823272705078,0.5336661338806152,False,"1
"
59,59,random,1,59,[5],0.017760276794433594,0.5514264106750488,False,"3
"
60,60,random,1,60,[8],0.006181478500366211,0.557607889175415,False,"1
"
61,61,random,1,61,[8],0.02857804298400879,0.5861859321594238,False,"5
"
