,#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,"#generations
"
0,0,random,1,0,[7],0.010202169418334961,0.010202169418334961,False,"1
"
1,1,random,1,1,[6],0.0053751468658447266,0.015577316284179688,False,"1
"
2,2,random,1,2,[4],0.004724264144897461,0.02030158042907715,False,"1
"
3,3,random,1,3,[8],0.011667013168334961,0.03196859359741211,False,"2
"
4,4,random,1,4,[8],0.005521059036254883,0.03748965263366699,False,"1
"
5,5,random,1,5,[4],0.011108160018920898,0.04859781265258789,False,"2
"
6,6,random,1,6,[6],0.010645389556884766,0.059243202209472656,False,"2
"
7,7,random,1,7,[7],0.006096839904785156,0.06534004211425781,False,"1
"
8,8,random,1,8,[9],0.006470918655395508,0.07181096076965332,False,"1
"
9,9,random,1,9,[7],0.006035804748535156,0.07784676551818848,False,"1
"
10,10,random,1,10,[9],0.005925655364990234,0.08377242088317871,False,"1
"
11,11,random,1,11,[9],0.005959987640380859,0.08973240852355957,False,"1
"
12,12,random,1,12,[7],0.005962848663330078,0.09569525718688965,False,"1
"
13,13,random,1,13,[5],0.007467985153198242,0.10316324234008789,False,"1
"
14,14,random,1,14,[8],0.022733688354492188,0.12589693069458008,False,"4
"
15,15,random,1,15,[6],0.005483388900756836,0.13138031959533691,False,"1
"
16,16,random,1,16,[5],0.006060123443603516,0.13744044303894043,False,"1
"
17,17,random,1,17,[6],0.006013154983520508,0.14345359802246094,False,"1
"
18,18,random,1,18,[5],0.005526304244995117,0.14897990226745605,False,"1
"
19,19,random,1,19,[7],0.006047487258911133,0.1550273895263672,False,"1
"
20,20,random,1,20,[9],0.011507272720336914,0.1665346622467041,False,"2
"
21,21,random,1,21,[4],0.005579471588134766,0.17211413383483887,False,"1
"
22,22,random,1,22,[6],0.005581855773925781,0.17769598960876465,False,"1
"
23,23,random,1,23,[3],0.02638530731201172,0.20408129692077637,False,"5
"
24,24,random,1,24,[8],0.006108760833740234,0.2101900577545166,False,"1
"
25,25,random,1,25,[7],0.011364936828613281,0.22155499458312988,False,"2
"
26,26,random,1,26,[8],0.01227712631225586,0.23383212089538574,False,"2
"
27,27,random,1,27,[8],0.006228446960449219,0.24006056785583496,False,"1
"
28,28,random,1,28,[4],0.011414766311645508,0.25147533416748047,False,"2
"
29,29,random,1,29,[9],0.0067141056060791016,0.25818943977355957,False,"1
"
30,30,random,1,30,[7],0.006175994873046875,0.26436543464660645,False,"1
"
31,31,random,1,31,[5],0.0226593017578125,0.28702473640441895,False,"4
"
32,32,random,1,32,[7],0.006662130355834961,0.2936868667602539,False,"1
"
33,33,random,1,33,[4],0.01747584342956543,0.31116271018981934,False,"3
"
34,34,random,1,34,[5],0.005663871765136719,0.31682658195495605,False,"1
"
35,35,random,1,35,[8],0.0060536861419677734,0.32288026809692383,False,"1
"
36,36,random,1,36,[10],0.006294965744018555,0.3291752338409424,False,"1
"
37,37,random,1,37,[6],0.011554241180419922,0.3407294750213623,False,"2
"
38,38,random,1,38,[6],0.005558013916015625,0.34628748893737793,False,"1
"
39,39,random,1,39,[8],0.011101245880126953,0.3573887348175049,False,"2
"
40,40,random,1,40,[6],0.005937337875366211,0.3633260726928711,False,"1
"
41,41,random,1,41,[9],0.006158113479614258,0.36948418617248535,False,"1
"
42,42,random,1,42,[4],0.017219066619873047,0.3867032527923584,False,"3
"
43,43,random,1,43,[5],0.011794328689575195,0.3984975814819336,False,"2
"
44,44,random,1,44,[8],0.016979694366455078,0.41547727584838867,False,"3
"
45,45,random,1,45,[8],0.005670070648193359,0.42114734649658203,False,"1
"
46,46,random,1,46,[10],0.006200075149536133,0.42734742164611816,False,"1
"
47,47,random,1,47,[5],0.018149852752685547,0.4454972743988037,False,"3
"
48,48,random,1,48,[10],0.012324333190917969,0.4578216075897217,False,"2
"
49,49,random,1,49,[10],0.006834268569946289,0.46465587615966797,False,"1
"
50,50,random,1,50,[7],0.012031793594360352,0.4766876697540283,False,"2
"
51,51,random,1,51,[5],0.006404876708984375,0.4830925464630127,False,"1
"
52,52,random,1,52,[5],0.028923749923706055,0.5120162963867188,False,"5
"
53,53,random,1,53,[5],0.016772747039794922,0.5287890434265137,False,"3
"
54,54,random,1,54,[5],0.010869503021240234,0.5396585464477539,False,"2
"
55,55,random,1,55,[6],0.006179332733154297,0.5458378791809082,False,"1
"
56,56,random,1,56,[7],0.006763935089111328,0.5526018142700195,False,"1
"
57,57,random,1,57,[7],0.006303310394287109,0.5589051246643066,False,"1
"
58,58,random,1,58,[4],0.006373167037963867,0.5652782917022705,False,"1
"
59,59,random,1,59,[5],0.03668069839477539,0.6019589900970459,False,"6
"
60,60,random,1,60,[7],0.016998767852783203,0.6189577579498291,False,"3
"
61,61,random,1,61,[4],0.005845308303833008,0.6248030662536621,False,"1
"
62,62,random,1,62,[8],0.02766561508178711,0.6524686813354492,False,"5
"
63,63,random,1,63,[8],0.005857229232788086,0.6583259105682373,False,"1
"
64,64,random,1,64,[4],0.006353616714477539,0.6646795272827148,False,"1
"
65,65,random,1,65,[5],0.0063381195068359375,0.6710176467895508,False,"1
"
66,66,random,1,66,[4],0.00584721565246582,0.6768648624420166,False,"1
"
67,67,random,1,67,[6],0.006241559982299805,0.6831064224243164,False,"1
"
68,68,random,1,68,[3],0.012638092041015625,0.695744514465332,False,"2
"
69,69,random,1,69,[7],0.00620579719543457,0.7019503116607666,False,"1
"
70,70,random,1,70,[9],0.012264728546142578,0.7142150402069092,False,"2
"
71,71,random,1,71,[4],0.006426572799682617,0.7206416130065918,False,"1
"
72,72,random,1,72,[5],0.0125274658203125,0.7331690788269043,False,"2
"
73,73,random,1,73,[3],0.006246089935302734,0.739415168762207,False,"1
"
74,74,random,1,74,[6],0.01670694351196289,0.7561221122741699,False,"3
"
75,75,random,1,75,[3],0.03366899490356445,0.7897911071777344,False,"6
"
76,76,random,1,76,[5],0.006742954254150391,0.7965340614318848,False,"1
"
77,77,random,1,77,[5],0.0060575008392333984,0.8025915622711182,False,"1
"
78,78,random,1,78,[9],0.006571054458618164,0.8091626167297363,False,"1
"
79,79,random,1,79,[7],0.02376103401184082,0.8329236507415771,False,"4
"
80,80,random,1,80,[7],0.02408885955810547,0.8570125102996826,False,"4
"
81,81,random,1,81,[4],0.012108325958251953,0.8691208362579346,False,"2
"
82,82,random,1,82,[6],0.012433290481567383,0.881554126739502,False,"2
"
83,83,random,1,83,[6],0.012325763702392578,0.8938798904418945,False,"2
"
84,84,random,1,84,[6],0.022483110427856445,0.916363000869751,False,"4
"
85,85,random,1,85,[4],0.030676841735839844,0.9470398426055908,False,"5
"
86,86,random,1,86,[4],0.017508745193481445,0.9645485877990723,False,"3
"
87,87,random,1,87,[6],0.006845951080322266,0.9713945388793945,False,"1
"
88,88,random,1,88,[5],0.0059795379638671875,0.9773740768432617,False,"1
"
89,89,random,1,89,[8],0.006461143493652344,0.9838352203369141,False,"1
"
90,90,random,1,90,[7],0.012755155563354492,0.9965903759002686,False,"2
"
91,91,random,1,91,[5],0.024677038192749023,1.0212674140930176,False,"4
"
92,92,random,1,92,[5],0.011656761169433594,1.0329241752624512,False,"2
"
93,93,random,1,93,[6],0.022484540939331055,1.0554087162017822,False,"4
"
94,94,random,1,94,[9],0.006674051284790039,1.0620827674865723,False,"1
"
95,95,random,1,95,[5],0.034242868423461914,1.0963256359100342,False,"6
"
96,96,random,1,96,[5],0.012058019638061523,1.1083836555480957,False,"2
"
97,97,random,1,97,[10],0.013371467590332031,1.1217551231384277,False,"2
"
98,98,random,1,98,[9],0.01886582374572754,1.1406209468841553,False,"3
"
99,99,random,1,99,[10],0.012629032135009766,1.153249979019165,False,"2
"
100,100,random,1,100,[8],0.012099027633666992,1.165349006652832,False,"2
"
101,101,random,1,101,[5],0.024193525314331055,1.189542531967163,False,"4
"
102,102,random,1,102,[7],0.0065724849700927734,1.1961150169372559,False,"1
"
103,103,random,1,103,[10],0.006371021270751953,1.2024860382080078,False,"1
"
104,104,random,1,104,[4],0.012453317642211914,1.2149393558502197,False,"2
"
105,105,random,1,105,[9],0.07704591751098633,1.291985273361206,False,"13
"
106,106,random,1,106,[7],0.017915010452270508,1.3099002838134766,False,"3
"
107,107,random,1,107,[7],0.02317190170288086,1.3330721855163574,False,"4
"
108,108,random,1,108,[5],0.012485504150390625,1.345557689666748,False,"2
"
109,109,random,1,109,[9],0.007287740707397461,1.3528454303741455,False,"1
"
110,110,random,1,110,[5],0.006817340850830078,1.3596627712249756,False,"1
"
111,111,random,1,111,[7],0.015659093856811523,1.375321865081787,False,"3
"
112,112,random,1,112,[3],0.022470951080322266,1.3977928161621094,False,"6
"
113,113,random,1,113,[7],0.004182577133178711,1.401975393295288,False,"1
"
114,114,random,1,114,[8],0.004454374313354492,1.4064297676086426,False,"1
"
115,115,random,1,115,[8],0.004450321197509766,1.4108800888061523,False,"1
"
116,116,random,1,116,[7],0.008350610733032227,1.4192306995391846,False,"2
"
117,117,random,1,117,[5],0.01189112663269043,1.431121826171875,False,"3
"
118,118,random,1,118,[6],0.015021324157714844,1.4461431503295898,False,"4
"
119,119,random,1,119,[7],0.012241125106811523,1.4583842754364014,False,"3
"
120,120,random,1,120,[7],0.011793851852416992,1.4701781272888184,False,"3
"
121,121,random,1,121,[5],0.008254051208496094,1.4784321784973145,False,"2
"
122,122,random,1,122,[4],0.019168853759765625,1.49760103225708,False,"5
"
123,123,random,1,123,[6],0.004237174987792969,1.501838207244873,False,"1
"
124,124,random,1,124,[9],0.008642911911010742,1.5104811191558838,False,"2
"
125,125,random,1,125,[6],0.0042345523834228516,1.5147156715393066,False,"1
"
126,126,random,1,126,[5],0.004484891891479492,1.5192005634307861,False,"1
"
127,127,random,1,127,[5],0.007822990417480469,1.5270235538482666,False,"2
"
128,128,random,1,128,[7],0.04523634910583496,1.5722599029541016,False,"12
"
129,129,random,1,129,[9],0.04322504997253418,1.6154849529266357,False,"10
"
130,130,random,1,130,[9],0.009368658065795898,1.6248536109924316,False,"2
"
131,131,random,1,131,[4],0.008864402770996094,1.6337180137634277,False,"2
"
132,132,random,1,132,[6],0.00452876091003418,1.638246774673462,False,"1
"
133,133,random,1,133,[10],0.04224061965942383,1.6804873943328857,False,"11
"
134,134,random,1,134,[9],0.011627912521362305,1.692115306854248,False,"3
"
135,135,random,1,135,[6],0.03414511680603027,1.7262604236602783,False,"9
"
136,136,random,1,136,[7],0.03613901138305664,1.762399435043335,False,"6
"
137,137,random,1,137,[9],0.01804041862487793,1.780439853668213,False,"3
"
138,138,random,1,138,[9],0.013034820556640625,1.7934746742248535,False,"2
"
139,139,random,1,139,[5],0.017583370208740234,1.8110580444335938,False,"3
"
140,140,random,1,140,[7],0.01181936264038086,1.8228774070739746,False,"2
"
141,141,random,1,141,[9],0.013103485107421875,1.8359808921813965,False,"2
"
142,142,random,1,142,[7],0.00690150260925293,1.8428823947906494,False,"1
"
143,143,random,1,143,[8],0.019190311431884766,1.8620727062225342,False,"3
"
144,144,random,1,144,[7],0.006463050842285156,1.8685357570648193,False,"1
"
145,145,random,1,145,[8],0.006964683532714844,1.8755004405975342,False,"1
"
146,146,random,1,146,[9],0.028336286544799805,1.903836727142334,False,"5
"
147,147,random,1,147,[4],0.012894392013549805,1.9167311191558838,False,"2
"
148,148,random,1,148,[7],0.012295722961425781,1.9290268421173096,False,"2
"
149,149,random,1,149,[7],0.006749391555786133,1.9357762336730957,False,"1
"
150,150,random,1,150,[8],0.007353544235229492,1.9431297779083252,False,"1
"
151,151,random,1,151,[8],0.019420385360717773,1.962550163269043,False,"3
"
152,152,random,1,152,[5],0.03439593315124512,1.996946096420288,False,"6
"
153,153,random,1,153,[7],0.02544236183166504,2.022388458251953,False,"4
"
154,154,random,1,154,[8],0.03047657012939453,2.0528650283813477,False,"5
"
155,155,random,1,155,[7],0.024174928665161133,2.077039957046509,False,"4
"
156,156,random,1,156,[3],0.006552457809448242,2.083592414855957,False,"1
"
157,157,random,1,157,[10],0.029388427734375,2.112980842590332,False,"5
"
158,158,random,1,158,[6],0.01745152473449707,2.130432367324829,False,"3
"
159,159,random,1,159,[5],0.030294179916381836,2.160726547241211,False,"5
"
160,160,random,1,160,[6],0.031768798828125,2.192495346069336,False,"5
"
161,161,random,1,161,[8],0.05446362495422363,2.2469589710235596,False,"9
"
162,162,random,1,162,[8],0.013610124588012695,2.2605690956115723,False,"2
"
163,163,random,1,163,[9],0.03358268737792969,2.294151782989502,False,"6
"
164,164,random,1,164,[13],0.024977445602416992,2.319129228591919,False,"4
"
165,165,random,1,165,[5],0.03668713569641113,2.35581636428833,False,"6
"
166,166,random,1,166,[6],0.0077588558197021484,2.3635752201080322,False,"1
"
167,167,random,1,167,[4],0.059317588806152344,2.4228928089141846,False,"10
"
168,168,random,1,168,[8],0.013462305068969727,2.4363551139831543,False,"2
"
169,169,random,1,169,[9],0.007546186447143555,2.443901300430298,False,"1
"
170,170,random,1,170,[6],0.013411998748779297,2.457313299179077,False,"2
"
171,171,random,1,171,[10],0.007470369338989258,2.4647836685180664,False,"1
"
172,172,random,1,172,[9],0.014987945556640625,2.479771614074707,False,"2
"
173,173,random,1,173,[6],0.017072439193725586,2.4968440532684326,False,"3
"
174,174,random,1,174,[10],0.02595353126525879,2.5227975845336914,False,"4
"
175,175,random,1,175,[5],0.031236886978149414,2.554034471511841,False,"5
"
176,176,random,1,176,[7],0.030412673950195312,2.584447145462036,False,"5
"
177,177,random,1,177,[3],0.007106781005859375,2.5915539264678955,False,"1
"
178,178,random,1,178,[9],0.02573847770690918,2.6172924041748047,False,"4
"
179,179,random,1,179,[2],0.04219698905944824,2.659489393234253,False,"7
"
180,180,random,1,180,[8],0.06278014183044434,2.7222695350646973,False,"10
"
181,181,random,1,181,[8],0.04436779022216797,2.7666373252868652,False,"7
"
182,182,random,1,182,[5],0.0070858001708984375,2.7737231254577637,False,"1
"
183,183,random,1,183,[4],0.045389413833618164,2.819112539291382,False,"7
"
184,184,random,1,184,[8],0.06483721733093262,2.8839497566223145,False,"11
"
185,185,random,1,185,[3],0.019156932830810547,2.903106689453125,False,"3
"
186,186,random,1,186,[9],0.02124929428100586,2.924355983734131,False,"3
"
187,187,random,1,187,[8],0.03506660461425781,2.9594225883483887,False,"6
"
188,188,random,1,188,[9],0.007111072540283203,2.966533660888672,False,"1
"
189,189,random,1,189,[8],0.019972562789916992,2.986506223678589,False,"3
"
190,190,random,1,190,[9],0.0073699951171875,2.9938762187957764,False,"1
"
191,191,random,1,191,[9],0.014122247695922852,3.007998466491699,False,"2
"
192,192,random,1,192,[6],0.04343390464782715,3.0514323711395264,False,"7
"
193,193,random,1,193,[7],0.02566695213317871,3.077099323272705,False,"4
"
194,194,random,1,194,[9],0.07970905303955078,3.156808376312256,False,"13
"
195,195,random,1,195,[5],0.007251262664794922,3.164059638977051,False,"1
"
196,196,random,1,196,[10],0.019063949584960938,3.1831235885620117,False,"3
"
197,197,random,1,197,[11],0.013499736785888672,3.1966233253479004,False,"2
"
198,198,random,1,198,[6],0.012208700180053711,3.208832025527954,False,"2
"
199,199,random,1,199,[5],0.014885663986206055,3.22371768951416,False,"2
"
200,200,random,1,200,[6],0.04854774475097656,3.2722654342651367,False,"8
"
201,201,random,1,201,[9],0.007909536361694336,3.280174970626831,False,"1
"
202,202,random,1,202,[5],0.019391775131225586,3.2995667457580566,False,"3
"
203,203,random,1,203,[5],0.01854848861694336,3.318115234375,False,"3
"
204,204,random,1,204,[6],0.01302957534790039,3.3311448097229004,False,"2
"
205,205,random,1,205,[3],0.04876589775085449,3.379910707473755,False,"8
"
