,#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,"#generations
"
0,0,random,1,0,[4],0.007397890090942383,0.007397890090942383,False,"1
"
1,1,random,1,1,[8],0.006094694137573242,0.013492584228515625,False,"1
"
2,2,random,1,2,[5],0.005541324615478516,0.01903390884399414,False,"1
"
3,3,random,1,3,[6],0.005997419357299805,0.025031328201293945,False,"1
"
4,4,random,1,4,[11],0.006517887115478516,0.03154921531677246,False,"1
"
5,5,random,1,5,[4],0.005671501159667969,0.03722071647644043,False,"1
"
6,6,random,1,6,[8],0.011726140975952148,0.04894685745239258,False,"2
"
7,7,random,1,7,[6],0.00554656982421875,0.05449342727661133,False,"1
"
8,8,random,1,8,[7],0.005418539047241211,0.05991196632385254,False,"1
"
9,9,random,1,9,[9],0.0060193538665771484,0.06593132019042969,False,"1
"
10,10,random,1,10,[11],0.0064830780029296875,0.07241439819335938,False,"1
"
11,11,random,1,11,[6],0.0055658817291259766,0.07798027992248535,False,"1
"
12,12,random,1,12,[4],0.010768651962280273,0.08874893188476562,False,"2
"
13,13,random,1,13,[6],0.005375862121582031,0.09412479400634766,False,"1
"
14,14,random,1,14,[7],0.008046388626098633,0.10217118263244629,False,"1
"
15,15,random,1,15,[7],0.005629539489746094,0.10780072212219238,False,"1
"
16,16,random,1,16,[5],0.0060672760009765625,0.11386799812316895,False,"1
"
17,17,random,1,17,[7],0.005585432052612305,0.11945343017578125,False,"1
"
18,18,random,1,18,[8],0.0060291290283203125,0.12548255920410156,False,"1
"
19,19,random,1,19,[5],0.006055116653442383,0.13153767585754395,False,"1
"
20,20,random,1,20,[9],0.0064258575439453125,0.13796353340148926,False,"1
"
21,21,random,1,21,[5],0.011443376541137695,0.14940690994262695,False,"2
"
22,22,random,1,22,[7],0.006032466888427734,0.1554393768310547,False,"1
"
23,23,random,1,23,[5],0.01691603660583496,0.17235541343688965,False,"3
"
24,24,random,1,24,[8],0.005405902862548828,0.17776131629943848,False,"1
"
25,25,random,1,25,[4],0.005605459213256836,0.1833667755126953,False,"1
"
26,26,random,1,26,[9],0.01154017448425293,0.19490694999694824,False,"2
"
27,27,random,1,27,[7],0.01759815216064453,0.21250510215759277,False,"3
"
28,28,random,1,28,[7],0.006129264831542969,0.21863436698913574,False,"1
"
29,29,random,1,29,[5],0.0060939788818359375,0.22472834587097168,False,"1
"
30,30,random,1,30,[5],0.01116800308227539,0.23589634895324707,False,"2
"
31,31,random,1,31,[6],0.011608123779296875,0.24750447273254395,False,"2
"
32,32,random,1,32,[7],0.00568079948425293,0.2531852722167969,False,"1
"
33,33,random,1,33,[9],0.006228923797607422,0.2594141960144043,False,"1
"
