#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,6.5,457.1331961154938,457.1331961154938,None,1,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0]
1,Egreedy,1,1,9.75,0.028013229370117188,457.1612093448639,None,6,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0
 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0]
2,Egreedy,1,2,10.75,0.010214805603027344,457.1714241504669,None,2,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1
 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 0 1 0 1 0 1 1 0 0 0 1 0
 0 1 0 0 1 2 0 0 0 0 0 1 0 0 0]
3,Egreedy,1,3,11.5,0.009685516357421875,457.18110966682434,None,2,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1
 0 0 0 1 0 0 1 2 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 0 0 0 1 0
 0 1 0 0 1 2 0 0 0 0 0 1 0 0 0]
4,Egreedy,1,4,11.75,0.01470804214477539,457.1958177089691,None,3,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1
 0 1 0 1 0 0 1 2 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 0 0 0 1 0
 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0]
5,Egreedy,1,5,12.5,0.01438450813293457,457.21020221710205,None,3,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1
 0 1 0 1 0 0 1 2 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 1 1 0 0 0 1 0
 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0]
6,Egreedy,1,6,13.25,0.009684324264526367,457.2198865413666,None,2,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1
 0 1 0 1 0 0 1 2 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0]
7,Egreedy,1,7,13.5,0.004754543304443359,457.224641084671,None,1,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1
 0 1 0 1 0 0 1 2 0 0 0 0 0 1 1 0 1 0 1 1 1 1 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0]
8,Egreedy,1,8,13.5,0.005303144454956055,457.229944229126,None,1,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 2 0 0
 0 0 0 1 1 0 1 2 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0
 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0]
9,Egreedy,1,9,13.5,0.014001131057739258,457.2439453601837,None,3,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 2 0 0
 0 0 0 1 1 0 1 2 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1
 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0]
10,Explanation,1,10,13.25,0.007171630859375,457.2511169910431,None,1,[0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 2 0 0
 0 0 0 1 1 0 1 2 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0
 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0]
11,Egreedy,1,11,14.0,0.006131649017333984,457.2572486400604,None,1,[0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 2 0 0
