#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
21,Egreedy,1,21,5.25,0.021320581436157227,0.47113943099975586,None,7,[1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
22,Egreedy,1,22,5.0,0.0078067779541015625,0.4789462089538574,None,1,[1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 1 1 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
23,Egreedy,1,23,5.5,0.07323050498962402,0.5521767139434814,None,9,[1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
24,Egreedy,1,24,5.5,0.008882522583007812,0.5610592365264893,None,1,[1 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
25,Egreedy,1,25,6.75,0.031208515167236328,0.5922677516937256,None,4,[1 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
26,Egreedy,1,26,6.5,0.007810115814208984,0.6000778675079346,None,1,[1 0 0 0 0 1 2 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
27,Egreedy,1,27,6.25,0.007763385772705078,0.6078412532806396,None,1,[1 0 0 0 0 0 2 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
28,Egreedy,1,28,6.5,0.025045156478881836,0.6328864097595215,None,3,[1 0 1 0 0 0 2 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
29,Egreedy,1,29,5.5,0.007570981979370117,0.6404573917388916,None,1,[1 0 1 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
30,Egreedy,1,30,5.25,0.014647483825683594,0.6551048755645752,None,7,[1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
