#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,6.5,0.01757335662841797,0.01757335662841797,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1]
1,Egreedy,1,1,6.25,0.008426427841186523,0.025999784469604492,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0]
2,Egreedy,1,2,4.25,0.006105899810791016,0.03210568428039551,None,1,[0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0]
3,Egreedy,1,3,4.0,0.005770444869995117,0.037876129150390625,None,1,[0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0]
4,Egreedy,1,4,3.0,0.005628108978271484,0.04350423812866211,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0]
5,Egreedy,1,5,2.75,0.011765480041503906,0.055269718170166016,None,2,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0]
6,Egreedy,1,6,2.5,0.005461692810058594,0.06073141098022461,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0]
7,Egreedy,1,7,2.5,0.016511917114257812,0.07724332809448242,None,3,[0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0]
8,Egreedy,1,8,2.75,0.019489049911499023,0.09673237800598145,None,4,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 1 0]
9,Egreedy,1,9,3.0,0.011109113693237305,0.10784149169921875,None,3,[0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 1 0 1 0]
10,Egreedy,1,10,3.0,0.003943443298339844,0.1117849349975586,None,1,[1 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 1 1 0 1 2 0 0 0 0]
11,Egreedy,1,11,2.75,0.003607511520385742,0.11539244651794434,None,1,[1 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 1 1 0 1 2 0 0 0 0]
12,Egreedy,1,12,3.75,0.007183074951171875,0.12257552146911621,None,2,[1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 1 1 0 1 2 0 0 0 0]
13,Egreedy,1,13,3.0,0.003583192825317383,0.1261587142944336,None,1,[1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0]
14,Egreedy,1,14,4.5,0.021674156188964844,0.14783287048339844,None,6,[1 0 1 0 0 0 0 0 1 0 1 2 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 1 0 0 0]
15,Egreedy,1,15,5.75,0.007282257080078125,0.15511512756347656,None,2,[1 0 1 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 1 0 0 0]
16,Egreedy,1,16,5.5,0.003575563430786133,0.1586906909942627,None,1,[1 0 1 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0]
17,Egreedy,1,17,5.25,0.0035431385040283203,0.16223382949829102,None,1,[1 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0]
18,Egreedy,1,18,4.25,0.010793685913085938,0.17302751541137695,None,3,[1 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0]
19,Egreedy,1,19,4.0,0.010464191436767578,0.18349170684814453,None,3,[1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0]
20,Egreedy,1,20,3.75,0.014319419860839844,0.19781112670898438,None,4,[1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 2 0 0 0 0 0 1 0 0 0]
21,Egreedy,1,21,3.5,0.010753393173217773,0.20856451988220215,None,3,[1 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0]
22,Egreedy,1,22,3.75,0.003598928451538086,0.21216344833374023,None,1,[1 0 0 0 1 1 2 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0]
23,Egreedy,1,23,3.5,0.007294893264770508,0.21945834159851074,None,2,[1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1]
24,Egreedy,1,24,4.75,0.014241695404052734,0.23370003700256348,None,4,[1 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1]
25,Egreedy,1,25,4.5,0.003554105758666992,0.23725414276123047,None,1,[1 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1]
26,Egreedy,1,26,4.75,0.003512859344482422,0.2407670021057129,None,1,[0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1]
27,Egreedy,1,27,4.5,0.0034847259521484375,0.24425172805786133,None,1,[0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0]
28,Egreedy,1,28,5.0,0.00345611572265625,0.24770784378051758,None,1,[0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
29,Egreedy,1,29,4.25,0.010291337966918945,0.2579991817474365,None,3,[0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
30,Egreedy,1,30,4.0,0.010442018508911133,0.26844120025634766,None,3,[1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
31,Egreedy,1,31,3.75,0.010551929473876953,0.2789931297302246,None,3,[1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0]
32,Egreedy,1,32,3.25,0.017752885818481445,0.29674601554870605,None,5,[1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 0]
33,Egreedy,1,33,2.25,0.0072021484375,0.30394816398620605,None,2,[1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 0]
34,Egreedy,1,34,2.0,0.003575563430786133,0.3075237274169922,None,1,[1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0]
35,Egreedy,1,35,3.0,0.0035445690155029297,0.3110682964324951,None,1,[1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0]
36,Egreedy,1,36,3.5,0.014357805252075195,0.3254261016845703,None,4,[1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1 0 1 1 0 0]
37,Egreedy,1,37,2.25,0.0036127567291259766,0.3290388584136963,None,1,[1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1 0 1 1 0 0]
38,Egreedy,1,38,3.5,0.003580808639526367,0.33261966705322266,None,1,[1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1 0 1 1 0 0]
39,Egreedy,1,39,3.25,0.0035610198974609375,0.3361806869506836,None,1,[1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0]
