#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,6.5,0.013511896133422852,0.013511896133422852,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1]
1,Explanation,1,1,6.5,0.007986783981323242,0.021498680114746094,None,1,[0 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1]
2,Explanation,1,2,6.25,0.007785797119140625,0.02928447723388672,None,1,[0 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1]
3,Explanation,1,3,5.5,0.008497953414916992,0.03778243064880371,None,1,[0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1]
4,Explanation,1,4,4.5,0.008546590805053711,0.04632902145385742,None,1,[0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0]
5,Explanation,1,5,4.25,0.00796961784362793,0.05429863929748535,None,1,[0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0]
6,Explanation,1,6,4.0,0.010063409805297852,0.0643620491027832,None,1,[1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0]
7,Explanation,1,7,3.25,0.01199650764465332,0.07635855674743652,None,1,[1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
8,Explanation,1,8,3.0,0.012963533401489258,0.08932209014892578,None,1,[1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
9,Explanation,1,9,2.75,0.011600017547607422,0.1009221076965332,None,1,[1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,Explanation,1,11,0.25,0.010528087615966797,0.1114501953125,0,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
