#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,6.5,173.76071906089783,173.76071906089783,None,1,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0
 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0
 0 0]
1,Egreedy,1,1,8.5,0.016113758087158203,173.77683281898499,None,2,[0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 2
 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0
 0 0]
2,Egreedy,1,2,9.25,0.030935049057006836,173.807767868042,None,4,[0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 2
 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0
 0 0]
3,Egreedy,1,3,9.25,0.015245914459228516,173.82301378250122,None,2,[0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 2
 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0
 0 0]
4,Egreedy,1,4,7.5,0.02451610565185547,173.84752988815308,None,3,[0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 0 0 0
 0 0 0 1 0 0 1 1 0 2 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0
 0 0]
